"","X","age","gender","region_category","membership_category","joined_through_referral","preferred_offer_types","medium_of_operation","internet_option","avg_time_spent","avg_transaction_value","avg_frequency_login_days","points_in_wallet","used_special_discount","offer_application_preference","past_complaint","complaint_status","feedback","churn_risk_score"
"16271",16270,36,"F","City","No Membership","Yes","Credit/Debit Card Offers","Desktop","Fiber_Optic",108.71,3800.09,"21.0",585.98,"No","Yes","No","Not Applicable","Poor Product Quality",1
"16273",16272,49,"F","City","Premium Membership","Yes","Without Offers","Desktop","Mobile_Data",55.53,45079.93,"13.0",736.184423713532,"Yes","No","No","Not Applicable","No reason specified",0
"16275",16274,49,"M","City","Basic Membership","No","Credit/Debit Card Offers","Desktop","Mobile_Data",39.59,46262.25,"27.0",687.82,"Yes","No","No","Not Applicable","Too many ads",1
"16277",16276,38,"M","City","Basic Membership","No","Without Offers","Smartphone","Mobile_Data",100.43,19038.92,"19.0",607.67,"No","Yes","No","Not Applicable","Too many ads",1
"16280",16279,60,"M","Village","No Membership","No","Gift Vouchers/Coupons","Smartphone","Fiber_Optic",68.27,36122.15,"25.0",577.64,"No","Yes","No","Not Applicable","No reason specified",1
"16281",16280,46,"M","Town","Premium Membership","Yes","Gift Vouchers/Coupons","Smartphone","Fiber_Optic",298.98,52836.62,"17.0",795.55,"No","Yes","No","Not Applicable","Quality Customer Care",0
"16282",16281,55,"F","City","Basic Membership","Yes","Without Offers","Desktop","Wi-Fi",220.25,30683.72,"25.0",527.39,"No","Yes","No","Not Applicable","Too many ads",1
"16283",16282,45,"F","City","No Membership","No","Credit/Debit Card Offers","Smartphone","Mobile_Data",30.14,32302.13,"10.0",291.621397249036,"Yes","No","Yes","No Information Available","Poor Customer Service",1
"16284",16283,24,"F","City","Gold Membership","No","Credit/Debit Card Offers","Desktop","Wi-Fi",175.17,2410.22,"17.0",769.18,"Yes","No","Yes","Solved in Follow-up","Poor Website",0
"16285",16284,42,"F","City","Premium Membership","No","Credit/Debit Card Offers","Desktop","Wi-Fi",349.26,3494.69,"14.0",736.21,"No","Yes","Yes","Solved","Too many ads",0
"16287",16286,46,"M","City","Platinum Membership","Yes","Without Offers","Desktop","Fiber_Optic",319.94,55275.17,"13.0",207.437062087477,"Yes","No","No","Not Applicable","Reasonable Price",0
"16288",16287,32,"M","Town","Silver Membership","Yes","Credit/Debit Card Offers","Smartphone","Wi-Fi",288.16,1246.46,"Error",703.6,"Yes","No","Yes","No Information Available","Poor Customer Service",1
"16290",16289,59,"F","City","Basic Membership","Yes","Credit/Debit Card Offers","Smartphone","Mobile_Data",-599.111382611349,44113.62,"11.0",523.2,"No","Yes","Yes","Solved","Too many ads",1
"16291",16290,11,"M","City","No Membership","No","Credit/Debit Card Offers","Desktop","Fiber_Optic",38.29,21104.95,"28.0",1193.18552276328,"No","Yes","No","Not Applicable","Too many ads",1
"16292",16291,62,"F","City","Basic Membership","No","Without Offers","Desktop","Fiber_Optic",99.35,29828.51,"Error",698.28,"No","Yes","No","Not Applicable","No reason specified",1
"16297",16296,53,"F","City","Basic Membership","Yes","Credit/Debit Card Offers","Smartphone","Fiber_Optic",550.39,38362.66,"23.0",646.29,"Yes","No","Yes","No Information Available","Poor Product Quality",1
"16299",16298,18,"F","Town","Gold Membership","Yes","Credit/Debit Card Offers","Desktop","Wi-Fi",609.15,1708.22,"14.0",767.02,"Yes","Yes","No","Not Applicable","Poor Website",0
"16300",16299,61,"F","Town","Platinum Membership","Yes","Without Offers","Smartphone","Mobile_Data",33.74,20300.66,"17.0",1111.95646930604,"No","Yes","Yes","Unsolved","Poor Website",0
"16302",16301,63,"F","Town","Premium Membership","Yes","Credit/Debit Card Offers","Smartphone","Mobile_Data",112.03,15152.35,"3.0",758.65,"No","Yes","No","Not Applicable","Reasonable Price",0
"16304",16303,55,"F","Town","Silver Membership","No","Gift Vouchers/Coupons","Desktop","Wi-Fi",361.14,1828.49,"Error",1219.50787405997,"Yes","No","No","Not Applicable","Poor Website",1
"16306",16305,60,"F","Town","Platinum Membership","No","Credit/Debit Card Offers","Desktop","Mobile_Data",137.25,22090.17,"13.0",789.37,"Yes","No","No","Not Applicable","Poor Customer Service",0
"16307",16306,45,"F","City","No Membership","No","Credit/Debit Card Offers","Desktop","Wi-Fi",69.51,9098.48,"29.0",636.86,"No","Yes","Yes","Solved in Follow-up","Poor Website",1
"16308",16307,17,"F","Village","Premium Membership","No","Without Offers","Smartphone","Wi-Fi",34.61,68880.9,"6.0",1252.25765538484,"No","Yes","No","Not Applicable","User Friendly Website",0
"16312",16311,10,"M","Town","Silver Membership","Yes","Gift Vouchers/Coupons","Smartphone","Fiber_Optic",118.71,10072.98,"9.0",770.78,"Yes","No","Yes","Solved in Follow-up","Poor Website",0
"16313",16312,60,"M","Town","Basic Membership","No","Gift Vouchers/Coupons","Desktop","Mobile_Data",283.53,20640.69,"26.0",505.86,"Yes","No","No","Not Applicable","Too many ads",1
"16316",16315,30,"M","Town","Silver Membership","No","Without Offers","Smartphone","Mobile_Data",169.05,16951.6,"17.0",626.56,"No","Yes","Yes","Solved","Poor Product Quality",1
"16318",16317,61,"F","Town","Basic Membership","Yes","Gift Vouchers/Coupons","Smartphone","Wi-Fi",186.34,48381.66,"23.0",631.41,"Yes","No","No","Not Applicable","Too many ads",1
"16319",16318,63,"F","Village","No Membership","Yes","Gift Vouchers/Coupons","Both","Wi-Fi",605.39,33836.95,"Error",616.51,"Yes","Yes","No","Not Applicable","Poor Product Quality",1
"16321",16320,11,"M","Town","Basic Membership","No","Gift Vouchers/Coupons","Smartphone","Mobile_Data",453.14,29588.98,"14.0",635.58,"Yes","No","Yes","No Information Available","Too many ads",1
"16322",16321,47,"M","City","Platinum Membership","No","Gift Vouchers/Coupons","Desktop","Mobile_Data",78.04,12952.97,"13.0",793.47,"Yes","No","Yes","Unsolved","Poor Website",0
"16323",16322,55,"F","Town","Basic Membership","No","Without Offers","Smartphone","Wi-Fi",165.8,16339.19,"7.0",1816.93369605704,"Yes","No","Yes","Solved in Follow-up","Poor Customer Service",1
"16324",16323,53,"F","City","Premium Membership","Yes","Credit/Debit Card Offers","Smartphone","Fiber_Optic",603.01,16173.66,"28.0",715.85,"Yes","No","No","Not Applicable","Poor Customer Service",0
"16327",16326,39,"F","Town","Gold Membership","Yes","Gift Vouchers/Coupons","Both","Fiber_Optic",410.73,1336.12,"9.0",701.06,"Yes","No","Yes","No Information Available","Poor Product Quality",0
"16330",16329,37,"F","City","Basic Membership","No","Credit/Debit Card Offers","Desktop","Wi-Fi",53.44,10985.99,"29.0",655.95,"No","Yes","No","Not Applicable","Too many ads",1
"16333",16332,44,"M","City","Premium Membership","Yes","Credit/Debit Card Offers","Desktop","Mobile_Data",33.7,28762.42,"5.0",701.75,"No","Yes","No","Not Applicable","No reason specified",0
"16334",16333,30,"M","City","Silver Membership","No","Credit/Debit Card Offers","Desktop","Fiber_Optic",168.19,46807.02,"24.0",702.77,"No","Yes","Yes","Unsolved","Poor Product Quality",1
"16335",16334,21,"F","Town","Platinum Membership","Yes","Without Offers","Desktop","Wi-Fi",63.59,7086.2,"Error",737.05,"Yes","No","Yes","Solved","No reason specified",0
"16336",16335,46,"M","Town","Basic Membership","Yes","Without Offers","Both","Wi-Fi",255.1,39855,"24.0",666.14,"Yes","No","Yes","No Information Available","Poor Product Quality",1
"16337",16336,45,"M","Village","No Membership","No","Gift Vouchers/Coupons","Desktop","Mobile_Data",1300.94159851061,6350.33,"22.0",531.27,"Yes","No","Yes","Solved","Too many ads",1
"16338",16337,38,"M","Town","Platinum Membership","No","Credit/Debit Card Offers","Desktop","Wi-Fi",195.54,20772.89,"5.0",775.94,"Yes","No","Yes","Solved in Follow-up","Poor Product Quality",0
"16339",16338,27,"M","Village","Silver Membership","Yes","Without Offers","Smartphone","Fiber_Optic",389.02,44331.26,"5.0",770.17,"No","Yes","No","Not Applicable","User Friendly Website",0
"16343",16342,53,"F","Town","Basic Membership","No","Without Offers","Both","Mobile_Data",293.08,36204.35,"27.0",301.27312820046,"Yes","Yes","No","Not Applicable","Poor Customer Service",1
"16344",16343,26,"M","City","Gold Membership","Yes","Gift Vouchers/Coupons","Smartphone","Mobile_Data",572.08,59641.16,"18.0",847.73,"Yes","No","Yes","Solved in Follow-up","Products always in Stock",0
"16346",16345,35,"M","City","No Membership","No","Without Offers","Desktop","Mobile_Data",-681.062201640826,35656.19,"18.0",575.53,"Yes","No","No","Not Applicable","Too many ads",1
"16347",16346,41,"F","Town","Gold Membership","No","Without Offers","Desktop","Fiber_Optic",170.87,29175.37,"5.0",734.97,"No","Yes","No","Not Applicable","Poor Website",0
"16349",16348,55,"F","Town","Basic Membership","Yes","Without Offers","Smartphone","Fiber_Optic",225.44,22316.1,"23.0",592.46,"Yes","No","No","Not Applicable","Poor Product Quality",1
"16350",16349,26,"F","City","No Membership","No","Gift Vouchers/Coupons","Desktop","Fiber_Optic",170.45,35615.51,"22.0",547.5,"Yes","No","No","Not Applicable","Too many ads",1
"16351",16350,55,"F","Town","No Membership","No","Without Offers","Smartphone","Wi-Fi",110.23,3416.28,"19.0",637.67,"No","Yes","No","Not Applicable","Poor Product Quality",1
"16353",16352,24,"M","City","No Membership","Yes","Credit/Debit Card Offers","Smartphone","Wi-Fi",211.22,18337.38,"29.0",377.548320455077,"Yes","No","No","Not Applicable","Poor Customer Service",1
"16357",16356,45,"F","City","Premium Membership","Yes","Credit/Debit Card Offers","Smartphone","Mobile_Data",528.66,22724.11,"6.0",791.26,"No","Yes","No","Not Applicable","Quality Customer Care",0
"16359",16358,13,"F","Town","Platinum Membership","Yes","Gift Vouchers/Coupons","Both","Wi-Fi",1237.97,20066.7,"18.0",766.32,"Yes","Yes","Yes","Unsolved","User Friendly Website",0
"16360",16359,45,"M","Village","Platinum Membership","Yes","Without Offers","Desktop","Fiber_Optic",33.62,9741.73,"10.0",389.920489548359,"Yes","No","No","Not Applicable","Poor Product Quality",0
"16361",16360,43,"M","Town","Gold Membership","No","Credit/Debit Card Offers","Smartphone","Mobile_Data",457.17,11837.47,"11.0",704.77,"Yes","No","Yes","No Information Available","Poor Customer Service",1
"16362",16361,16,"M","City","Gold Membership","Yes","Without Offers","Smartphone","Fiber_Optic",146.99,47529.32,"20.0",893.336798263893,"No","Yes","Yes","Unsolved","Poor Website",1
"16363",16362,62,"F","City","No Membership","No","Without Offers","Smartphone","Mobile_Data",121.66,47358.6,"26.0",623.77,"No","Yes","No","Not Applicable","Poor Customer Service",1
"16365",16364,29,"F","Town","Platinum Membership","No","Credit/Debit Card Offers","Desktop","Mobile_Data",265.06,31236.53,"15.0",745.42,"Yes","No","No","Not Applicable","Reasonable Price",0
"16366",16365,28,"F","Town","Basic Membership","No","Without Offers","Both","Fiber_Optic",280.46,20419.41,"20.0",603.281093473389,"No","Yes","Yes","No Information Available","Too many ads",1
"16367",16366,18,"M","City","No Membership","No","Without Offers","Desktop","Mobile_Data",30.24,3157.63,"22.0",527.92,"No","Yes","No","Not Applicable","Poor Customer Service",1
"16372",16371,33,"F","City","Premium Membership","No","Gift Vouchers/Coupons","Smartphone","Wi-Fi",311.74,30449.86,"18.0",754.49,"No","Yes","No","Not Applicable","Too many ads",0
"16376",16375,39,"F","Town","No Membership","Yes","Gift Vouchers/Coupons","Desktop","Mobile_Data",30.94,42148.14,"12.0",669.95,"No","Yes","Yes","Unsolved","Poor Product Quality",1
"16377",16376,38,"F","Town","Premium Membership","No","Gift Vouchers/Coupons","Both","Fiber_Optic",294.47,34862.73,"4.0",772.62,"Yes","Yes","No","Not Applicable","Quality Customer Care",0
"16379",16378,42,"M","Town","Basic Membership","No","Without Offers","Smartphone","Wi-Fi",112.06,31639.24,"19.0",663.17,"No","Yes","Yes","No Information Available","Poor Website",1
"16381",16380,29,"F","City","Gold Membership","Yes","Gift Vouchers/Coupons","Smartphone","Mobile_Data",62.3,39949.72,"5.0",613.67,"Yes","No","Yes","Unsolved","Poor Product Quality",1
"16383",16382,14,"F","Town","Basic Membership","Yes","Without Offers","Desktop","Wi-Fi",80.06,36651.93,"5.0",633.26,"No","Yes","No","Not Applicable","Too many ads",1
"16385",16384,37,"F","City","Platinum Membership","No","Gift Vouchers/Coupons","Smartphone","Mobile_Data",53.68,19422.29,"23.0",705.95,"Yes","No","Yes","Solved in Follow-up","Poor Product Quality",0
"16387",16386,35,"M","Town","Silver Membership","No","Credit/Debit Card Offers","Smartphone","Mobile_Data",297.35,62089.65,"17.0",1187.29380283179,"No","Yes","No","Not Applicable","Quality Customer Care",0
"16388",16387,43,"F","City","Gold Membership","Yes","Without Offers","Desktop","Mobile_Data",172.98,43384.91,"21.0",702.93,"Yes","No","No","Not Applicable","Poor Product Quality",1
"16389",16388,29,"M","City","Platinum Membership","No","Without Offers","Desktop","Mobile_Data",195.1,9920.69,"15.0",711.49,"Yes","No","No","Not Applicable","No reason specified",0
"16390",16389,36,"F","City","Silver Membership","No","Credit/Debit Card Offers","Smartphone","Wi-Fi",34.76,15812.47,"29.0",760.58,"No","Yes","No","Not Applicable","Too many ads",0
"16393",16392,58,"F","City","Premium Membership","Yes","Credit/Debit Card Offers","Desktop","Fiber_Optic",109.86,4965.32,"18.0",732.57,"Yes","No","Yes","No Information Available","Too many ads",0
"16395",16394,33,"M","Town","Premium Membership","No","Without Offers","Desktop","Mobile_Data",46.53,25858.4,"-6.886256514601548",705.06,"Yes","No","Yes","No Information Available","Poor Product Quality",0
"16397",16396,35,"M","Village","Basic Membership","No","Without Offers","Smartphone","Wi-Fi",91.44,19076.06,"9.0",528.5,"Yes","No","Yes","Solved in Follow-up","Poor Customer Service",1
"16398",16397,45,"F","Town","No Membership","No","Gift Vouchers/Coupons","Smartphone","Mobile_Data",408.89,33377.77,"9.0",669.12,"No","Yes","Yes","Solved","Poor Website",1
"16401",16400,46,"M","Town","Basic Membership","No","Gift Vouchers/Coupons","Desktop","Wi-Fi",279.91,49344.28,"27.0",680.99,"Yes","Yes","No","Not Applicable","Poor Website",1
"16402",16401,36,"M","City","Premium Membership","Yes","Gift Vouchers/Coupons","Desktop","Fiber_Optic",833.514650918128,32813.73,"38.797121588742144",760.81,"Yes","No","No","Not Applicable","No reason specified",0
"16404",16403,15,"M","City","Gold Membership","Yes","Without Offers","Smartphone","Mobile_Data",-418.966504327051,6491.19,"11.0",779.15,"Yes","Yes","Yes","Unsolved","Products always in Stock",0
"16405",16404,53,"M","Town","Basic Membership","Yes","Gift Vouchers/Coupons","Smartphone","Fiber_Optic",150.86,19345.72,"6.0",651.67,"Yes","No","Yes","Solved in Follow-up","Poor Product Quality",1
"16409",16408,14,"F","City","Gold Membership","Yes","Gift Vouchers/Coupons","Smartphone","Fiber_Optic",138.05,28330.53,"20.0",642.84,"No","Yes","Yes","Solved in Follow-up","Too many ads",1
"16410",16409,63,"M","Town","Basic Membership","No","Without Offers","Smartphone","Wi-Fi",-1913.40515411941,49990.2,"12.0",665.34,"No","Yes","No","Not Applicable","Poor Customer Service",1
"16412",16411,28,"F","Town","Premium Membership","No","Credit/Debit Card Offers","Smartphone","Wi-Fi",325.35,16583.16,"16.0",730.42,"Yes","No","No","Not Applicable","No reason specified",0
"16413",16412,39,"F","City","Premium Membership","Yes","Gift Vouchers/Coupons","Desktop","Fiber_Optic",773.91,19385.2,"29.0",733.27,"No","Yes","No","Not Applicable","Poor Customer Service",0
"16414",16413,47,"F","Town","Gold Membership","Yes","Credit/Debit Card Offers","Desktop","Mobile_Data",1483.98771551398,2905.08,"29.0",714.19,"Yes","No","Yes","Solved in Follow-up","Poor Product Quality",0
"16416",16415,15,"F","City","Basic Membership","No","Without Offers","Desktop","Mobile_Data",162.34,7810.49,"18.0",626.41,"No","Yes","No","Not Applicable","Poor Customer Service",1
"16417",16416,22,"F","City","Basic Membership","Yes","Credit/Debit Card Offers","Smartphone","Mobile_Data",55.49,8190.18,"29.0",604.03,"Yes","No","No","Not Applicable","Poor Product Quality",0
"16419",16418,11,"F","City","No Membership","No","Credit/Debit Card Offers","Smartphone","Fiber_Optic",42.17,10479.06,"29.0",581.12,"No","Yes","No","Not Applicable","Poor Website",1
"16422",16421,14,"F","City","No Membership","No","Gift Vouchers/Coupons","Smartphone","Mobile_Data",449.2,4852.97,"14.0",601.3,"Yes","No","No","Not Applicable","Poor Website",1
"16423",16422,53,"M","Town","Platinum Membership","Yes","Without Offers","Smartphone","Mobile_Data",947.25,13057.05,"12.0",770.63,"Yes","Yes","No","Not Applicable","Reasonable Price",0
"16425",16424,53,"F","Town","Silver Membership","No","Credit/Debit Card Offers","Desktop","Fiber_Optic",82.92,41790.19,"18.0",614.89,"Yes","No","No","Not Applicable","Poor Website",1
"16427",16426,16,"F","City","Basic Membership","No","Gift Vouchers/Coupons","Smartphone","Wi-Fi",201.6,7351.64,"17.0",613.81,"No","Yes","Yes","Unsolved","No reason specified",1
"16430",16429,13,"F","City","Basic Membership","No","Gift Vouchers/Coupons","Desktop","Mobile_Data",222.28,26343.4,"27.0",718.92,"Yes","No","No","Not Applicable","Too many ads",1
"16431",16430,45,"M","City","Silver Membership","No","Credit/Debit Card Offers","Both","Wi-Fi",324.42,4144.44,"26.0",640.26,"Yes","No","Yes","No Information Available","Too many ads",1
"16432",16431,11,"F","City","Gold Membership","No","Without Offers","Smartphone","Wi-Fi",94.07,4947.33,"22.0",747.82,"Yes","No","Yes","Solved in Follow-up","Poor Product Quality",0
"16433",16432,49,"F","Town","Basic Membership","Yes","Gift Vouchers/Coupons","Both","Fiber_Optic",653.07,1175.45,"13.0",623.3,"Yes","No","No","Not Applicable","Poor Website",1
"16434",16433,13,"F","Town","Basic Membership","No","Gift Vouchers/Coupons","Desktop","Fiber_Optic",42.01,18923.28,"8.0",227.454738894117,"Yes","No","No","Not Applicable","No reason specified",1
"16436",16435,26,"F","City","Premium Membership","No","Without Offers","Desktop","Wi-Fi",243.03,32838.03,"15.0",531.213163150621,"Yes","No","Yes","No Information Available","Too many ads",0
"16437",16436,33,"M","Town","No Membership","Yes","Without Offers","Desktop","Mobile_Data",70.27,43871.64,"Error",625.14,"Yes","No","No","Not Applicable","No reason specified",1
"16439",16438,21,"F","Town","No Membership","Yes","Credit/Debit Card Offers","Desktop","Fiber_Optic",1199.73,12826.2,"25.0",860.999875141841,"Yes","No","No","Not Applicable","Poor Product Quality",1
"16440",16439,60,"M","City","Premium Membership","No","Without Offers","Desktop","Mobile_Data",247.55,29371.09,"Error",754.96,"Yes","Yes","Yes","Unsolved","No reason specified",0
"16442",16441,13,"F","Village","Gold Membership","No","Credit/Debit Card Offers","Both","Mobile_Data",400.59,49895.93,"15.0",715.64,"Yes","Yes","No","Not Applicable","Too many ads",1
"16443",16442,57,"M","City","No Membership","Yes","Gift Vouchers/Coupons","Smartphone","Fiber_Optic",33.18,4698.42,"-7.428666650458915",529.12,"No","Yes","No","Not Applicable","No reason specified",1
"16444",16443,12,"M","Town","No Membership","Yes","Credit/Debit Card Offers","Smartphone","Mobile_Data",1216.15091892998,21394.24,"37.57759298927819",130.990835547137,"Yes","No","No","Not Applicable","Too many ads",1
"16446",16445,14,"M","Town","Premium Membership","No","Credit/Debit Card Offers","Both","Mobile_Data",503.92,35617.52,"9.0",772.69,"No","Yes","Yes","Solved in Follow-up","Too many ads",0
"16447",16446,64,"F","Town","Basic Membership","Yes","Without Offers","Smartphone","Wi-Fi",175.01,5606.91,"18.0",615.4,"Yes","No","No","Not Applicable","Poor Customer Service",1
"16448",16447,32,"F","City","Basic Membership","Yes","Without Offers","Smartphone","Mobile_Data",125.84,5263.28,"19.0",620.57,"No","Yes","Yes","Unsolved","No reason specified",1
"16450",16449,14,"F","Town","Silver Membership","Yes","Without Offers","Desktop","Mobile_Data",649.02,48586.01,"17.0",359.121841948011,"No","Yes","Yes","Solved","Poor Product Quality",0
"16452",16451,19,"M","City","Silver Membership","No","Gift Vouchers/Coupons","Desktop","Fiber_Optic",132.94,23930.45,"7.0",609.49,"Yes","No","No","Not Applicable","Too many ads",1
"16456",16455,47,"F","City","No Membership","Yes","Without Offers","Smartphone","Fiber_Optic",108.33,16234.82,"12.0",665.14,"Yes","No","Yes","Solved","Poor Website",0
"16457",16456,42,"M","City","Silver Membership","No","Credit/Debit Card Offers","Desktop","Mobile_Data",56.61,94566.4,"6.0",761.37,"No","Yes","No","Not Applicable","Reasonable Price",0
"16459",16458,26,"F","City","Platinum Membership","Yes","Credit/Debit Card Offers","Smartphone","Fiber_Optic",30.97,54006.95,"8.0",1049.89794111663,"No","Yes","No","Not Applicable","Quality Customer Care",0
"16461",16460,47,"F","City","Basic Membership","No","Gift Vouchers/Coupons","Smartphone","Mobile_Data",34.33,22267.37,"12.0",574.58,"No","Yes","No","Not Applicable","Poor Product Quality",1
"16462",16461,28,"F","City","No Membership","Yes","Without Offers","Smartphone","Mobile_Data",993.6,41306.85,"28.0",637.4,"Yes","Yes","Yes","Unsolved","Poor Website",1
"16463",16462,37,"F","City","Basic Membership","No","Credit/Debit Card Offers","Desktop","Wi-Fi",255.94,27187.89,"7.0",573.59,"No","Yes","Yes","No Information Available","No reason specified",1
"16464",16463,28,"M","City","No Membership","Yes","Without Offers","Smartphone","Mobile_Data",784.21,42231.64,"13.0",659.91,"Yes","No","No","Not Applicable","No reason specified",1
"16466",16465,48,"M","City","No Membership","Yes","Without Offers","Desktop","Fiber_Optic",718.97,33118.32,"22.0",1117.83195195518,"Yes","No","No","Not Applicable","Poor Product Quality",1
"16467",16466,63,"F","City","No Membership","No","Gift Vouchers/Coupons","Smartphone","Fiber_Optic",60.41,47639.22,"5.0",612.41,"No","Yes","No","Not Applicable","Too many ads",1
"16468",16467,45,"M","City","Gold Membership","No","Without Offers","Smartphone","Mobile_Data",185.01,8440.9,"28.0",705.86,"No","Yes","No","Not Applicable","Too many ads",0
"16470",16469,54,"M","City","Basic Membership","Yes","Gift Vouchers/Coupons","Desktop","Fiber_Optic",32.64,44997.2,"33.25266599968633",572.17,"Yes","No","No","Not Applicable","No reason specified",1
"16471",16470,54,"M","City","No Membership","Yes","Credit/Debit Card Offers","Both","Mobile_Data",841.89,10521.12,"28.0",649.41,"Yes","Yes","No","Not Applicable","Poor Customer Service",1
"16474",16473,26,"M","City","Silver Membership","Yes","Credit/Debit Card Offers","Desktop","Mobile_Data",195.59,1828.06,"8.0",755.14,"Yes","No","Yes","Unsolved","Poor Website",0
"16476",16475,42,"M","Town","Silver Membership","No","Gift Vouchers/Coupons","Smartphone","Wi-Fi",96.67,31521.32,"Error",693.82,"Yes","No","No","Not Applicable","Too many ads",1
"16478",16477,19,"F","City","No Membership","Yes","Gift Vouchers/Coupons","Desktop","Mobile_Data",97.11,46776.66,"40.66717303389029",500.11,"Yes","No","Yes","Solved","Poor Website",1
"16480",16479,63,"M","Town","No Membership","No","Credit/Debit Card Offers","Desktop","Fiber_Optic",34.66,29725.38,"18.0",554.97,"Yes","No","Yes","Solved in Follow-up","Poor Product Quality",0
"16482",16481,52,"F","City","Basic Membership","No","Without Offers","Desktop","Wi-Fi",320.68,1870.72,"5.0",1080.21234825237,"No","Yes","No","Not Applicable","Poor Product Quality",1
"16483",16482,10,"M","Village","Platinum Membership","No","Without Offers","Desktop","Wi-Fi",33.3,25491.54,"22.0",338.113497499882,"Yes","No","Yes","Unsolved","Too many ads",0
"16484",16483,44,"F","City","Basic Membership","No","Credit/Debit Card Offers","Smartphone","Wi-Fi",138.77,7315.98,"18.0",1110.52998221409,"No","Yes","Yes","Solved in Follow-up","No reason specified",1
"16485",16484,21,"M","Town","No Membership","Yes","Gift Vouchers/Coupons","Both","Fiber_Optic",1305.35,42688.08,"9.0",601.59,"Yes","No","No","Not Applicable","Too many ads",1
"16489",16488,48,"F","City","Silver Membership","No","Credit/Debit Card Offers","Smartphone","Wi-Fi",61.9,6073.02,"12.0",643.28,"Yes","No","Yes","Unsolved","Poor Customer Service",1
"16490",16489,18,"M","City","Gold Membership","Yes","Gift Vouchers/Coupons","Desktop","Mobile_Data",88.67,31501.42,"23.0",789.38,"Yes","No","Yes","Unsolved","Poor Product Quality",0
"16491",16490,16,"F","City","Premium Membership","No","Without Offers","Desktop","Wi-Fi",-835.96966432456,27473.38,"Error",747.3,"Yes","No","No","Not Applicable","Poor Customer Service",0
"16492",16491,43,"F","City","Basic Membership","Yes","Credit/Debit Card Offers","Smartphone","Mobile_Data",1147.36737990664,36433.21,"16.0",699.95,"Yes","No","No","Not Applicable","Poor Product Quality",1
"16493",16492,54,"M","City","Premium Membership","No","Gift Vouchers/Coupons","Smartphone","Mobile_Data",145.01,39381.76,"Error",795.17,"Yes","No","No","Not Applicable","Too many ads",0
"16494",16493,31,"M","Town","Gold Membership","Yes","Gift Vouchers/Coupons","Smartphone","Fiber_Optic",256.83,27971.5,"3.0",772.55,"Yes","Yes","No","Not Applicable","Quality Customer Care",0
"16495",16494,46,"M","Town","Platinum Membership","Yes","Without Offers","Desktop","Fiber_Optic",91.69,32101.95,"18.0",807.22,"No","Yes","No","Not Applicable","User Friendly Website",0
"16496",16495,37,"F","Town","Gold Membership","No","Without Offers","Desktop","Mobile_Data",200.99,35337.66,"21.0",1038.3275141209,"Yes","No","No","Not Applicable","Poor Product Quality",1
"16499",16498,49,"M","City","No Membership","No","Gift Vouchers/Coupons","Smartphone","Fiber_Optic",410.42,1825.86,"18.0",535.86,"No","Yes","Yes","Solved in Follow-up","Too many ads",1
"16500",16499,43,"M","Village","Premium Membership","No","Without Offers","Smartphone","Fiber_Optic",157.9,31752.94,"18.0",787.78,"No","Yes","No","Not Applicable","No reason specified",0
"16502",16501,50,"F","City","Gold Membership","Yes","Gift Vouchers/Coupons","Smartphone","Wi-Fi",1159.23969265192,28243.81,"23.0",650.11,"No","Yes","Yes","Solved in Follow-up","Poor Customer Service",1
"16503",16502,22,"F","City","No Membership","No","Credit/Debit Card Offers","Smartphone","Wi-Fi",184.95,28660.38,"21.0",508.2,"Yes","No","Yes","Solved","Too many ads",1
"16506",16505,32,"M","Town","Gold Membership","Yes","Credit/Debit Card Offers","Desktop","Mobile_Data",30.45,86575.94,"15.0",767.51,"Yes","No","Yes","Solved in Follow-up","Products always in Stock",0
"16507",16506,53,"M","Town","No Membership","No","Credit/Debit Card Offers","Both","Mobile_Data",288.16,5758.21,"25.0",505.85,"Yes","No","Yes","Unsolved","Poor Product Quality",1
"16508",16507,48,"M","City","No Membership","No","Gift Vouchers/Coupons","Smartphone","Wi-Fi",36.88,27047.36,"15.0",672.55,"No","Yes","No","Not Applicable","Poor Product Quality",1
"16509",16508,16,"F","City","Premium Membership","No","Gift Vouchers/Coupons","Desktop","Fiber_Optic",238.06,58109.75,"3.0",837.96,"Yes","Yes","No","Not Applicable","User Friendly Website",0
"16510",16509,28,"M","Town","Basic Membership","No","Credit/Debit Card Offers","Smartphone","Fiber_Optic",32.57,3117.29,"19.0",556.59,"Yes","No","No","Not Applicable","No reason specified",1
"16514",16513,31,"F","Town","Silver Membership","Yes","Without Offers","Desktop","Mobile_Data",664.83,14694.4,"25.0",701.56,"Yes","No","No","Not Applicable","Too many ads",0
"16516",16515,33,"M","City","Basic Membership","Yes","Without Offers","Smartphone","Mobile_Data",66.12,1159.91,"23.0",672.03,"Yes","No","No","Not Applicable","No reason specified",1
"16517",16516,25,"M","Town","Basic Membership","No","Gift Vouchers/Coupons","Desktop","Mobile_Data",193.97,10546.26,"21.0",857.917603149991,"No","Yes","No","Not Applicable","Too many ads",1
"16519",16518,14,"M","City","Premium Membership","Yes","Gift Vouchers/Coupons","Smartphone","Wi-Fi",98.96,49050.43,"22.0",1070.22779938649,"No","Yes","No","Not Applicable","Poor Website",0
"16520",16519,12,"F","Town","Basic Membership","No","Credit/Debit Card Offers","Desktop","Wi-Fi",-785.056392939209,48001.72,"5.0",552.19,"Yes","No","Yes","Solved","Poor Website",1
